2020-07-26 - 06:14:45 INFO: The connection has been established
2020-07-26 - 06:16:32 INFO: From queue y_pred got 208.46145881084308
2020-07-26 - 06:16:35 INFO: From queue y_true got 182.0
2020-07-26 - 06:16:35 INFO: From queue y_pred got 77.60840949933284
2020-07-26 - 06:16:38 INFO: From queue y_true got 114.0
2020-07-26 - 06:16:38 INFO: From queue y_pred got 84.87776529446501
2020-07-26 - 06:16:41 INFO: From queue y_true got 144.0
2020-07-26 - 06:16:41 INFO: From queue y_pred got 114.17777916122536
2020-07-26 - 06:16:44 INFO: From queue y_true got 163.0
2020-07-26 - 06:16:44 INFO: From queue y_pred got 160.99360831308016
2020-07-26 - 06:16:47 INFO: From queue y_true got 107.0
2020-07-26 - 06:16:47 INFO: From queue y_pred got 104.46855808828428
2020-07-26 - 06:16:50 INFO: From queue y_true got 281.0
2020-07-26 - 06:16:50 INFO: From queue y_pred got 294.4325519763544
2020-07-26 - 06:16:53 INFO: From queue y_true got 97.0
2020-07-26 - 06:16:53 INFO: From queue y_pred got 104.99822290277214
2020-07-26 - 06:16:56 INFO: From queue y_true got 60.0
2020-07-26 - 06:16:56 INFO: From queue y_pred got 87.98478217628254
2020-07-26 - 06:16:59 INFO: From queue y_true got 40.0
2020-07-26 - 06:16:59 INFO: From queue y_pred got 64.78290461920984
2020-07-26 - 06:17:02 INFO: From queue y_true got 101.0
2020-07-26 - 06:17:02 INFO: From queue y_pred got 112.42191109008002
2020-07-26 - 06:17:05 INFO: From queue y_true got 115.0
2020-07-26 - 06:17:05 INFO: From queue y_pred got 125.5890569957076
2020-07-26 - 06:17:08 INFO: From queue y_true got 186.0
2020-07-26 - 06:17:08 INFO: From queue y_pred got 200.3664661028685
2020-07-26 - 06:17:11 INFO: From queue y_true got 55.0
2020-07-26 - 06:17:11 INFO: From queue y_pred got 83.93536324179165
2020-07-26 - 06:17:14 INFO: From queue y_true got 189.0
2020-07-26 - 06:17:14 INFO: From queue y_pred got 184.6054002772684
2020-07-26 - 06:17:17 INFO: From queue y_true got 280.0
2020-07-26 - 06:17:17 INFO: From queue y_pred got 251.87207631893008
2020-07-26 - 06:17:20 INFO: From queue y_true got 125.0
2020-07-26 - 06:17:20 INFO: From queue y_pred got 84.39042146630794
2020-07-26 - 06:17:23 INFO: From queue y_true got 206.0
2020-07-26 - 06:17:23 INFO: From queue y_pred got 196.4408699729782
2020-07-26 - 06:17:26 INFO: From queue y_true got 242.0
2020-07-26 - 06:17:26 INFO: From queue y_pred got 227.57365852944417
2020-07-26 - 06:17:29 INFO: From queue y_true got 297.0
2020-07-26 - 06:17:29 INFO: From queue y_pred got 250.4141270660991
2020-07-26 - 06:17:32 INFO: From queue y_true got 128.0
2020-07-26 - 06:17:32 INFO: From queue y_pred got 184.1449357087398
2020-07-26 - 06:17:35 INFO: From queue y_true got 59.0
2020-07-26 - 06:17:35 INFO: From queue y_pred got 79.18288601226699
2020-07-26 - 06:17:38 INFO: From queue y_true got 244.0
2020-07-26 - 06:17:38 INFO: From queue y_pred got 189.3569565830582
2020-07-26 - 06:17:41 INFO: From queue y_true got 185.0
2020-07-26 - 06:17:41 INFO: From queue y_pred got 172.27862981667667
2020-07-26 - 06:17:44 INFO: From queue y_true got 99.0
2020-07-26 - 06:17:44 INFO: From queue y_pred got 157.73406354710212
2020-07-26 - 06:17:47 INFO: From queue y_true got 232.0
2020-07-26 - 06:17:48 INFO: From queue y_pred got 205.1209407573601
2020-07-26 - 06:17:51 INFO: From queue y_true got 124.0
2020-07-26 - 06:17:51 INFO: From queue y_pred got 137.2004491952616
